구분,읍면,법정리,행정리,년도,세대수,인구수(총계),인구수(남),인구수(여)
경상북도 울릉군,울릉읍,도동리,도동1리,2008,625,1416,700,716
경상북도 울릉군,울릉읍,도동리,도동2리,2008,648,1592,837,755
경상북도 울릉군,울릉읍,도동리,도동3리,2008,785,1615,827,788
경상북도 울릉군,울릉읍,독도리,독도리,2008,2,4,2,2
경상북도 울릉군,울릉읍,저동리,저동1리,2008,638,1496,778,718
경상북도 울릉군,울릉읍,저동리,저동2리,2008,130,315,166,149
경상북도 울릉군,울릉읍,저동리,저동3리,2008,30,66,33,33
경상북도 울릉군,울릉읍,사동리,사동1리,2008,211,391,216,175
경상북도 울릉군,울릉읍,사동리,사동2리,2008,62,123,65,58
경상북도 울릉군,울릉읍,사동리,사동3리,2008,97,225,119,106
경상북도 울릉군,서면,남양리,남양1리,2008,215,497,269,228
경상북도 울릉군,서면,남양리,남양2리,2008,38,92,48,44
경상북도 울릉군,서면,남양리,남양3리,2008,83,211,112,99
경상북도 울릉군,서면,남서리,남서1리,2008,92,197,102,95
경상북도 울릉군,서면,남서리,남서2리,2008,18,30,16,14
경상북도 울릉군,서면,태하리,태하1리,2008,223,457,243,214
경상북도 울릉군,서면,태하리,태하2리,2008,36,73,37,36
경상북도 울릉군,북면,천부리,천부1리,2008,279,610,319,291
경상북도 울릉군,북면,천부리,천부2리,2008,14,22,12,10
경상북도 울릉군,북면,천부리,천부3리,2008,23,45,23,22
경상북도 울릉군,북면,천부리,천부4리,2008,33,56,31,25
경상북도 울릉군,북면,나리,나리,2008,21,43,21,22
경상북도 울릉군,북면,나리,추산리,2008,70,156,89,67
경상북도 울릉군,북면,현포리,현포1리,2008,151,326,163,163
경상북도 울릉군,북면,현포리,현포2리,2008,48,106,56,50
경상북도 울릉군,울릉읍,도동리,도동1리,2009,642,1439,707,732
경상북도 울릉군,울릉읍,도동리,도동2리,2009,691,1601,830,771
경상북도 울릉군,울릉읍,도동리,도동3리,2009,807,1566,817,749
경상북도 울릉군,울릉읍,독도리,독도리,2009,3,4,3,1
경상북도 울릉군,울릉읍,저동리,저동1리,2009,718,1623,834,789
경상북도 울릉군,울릉읍,저동리,저동2리,2009,130,287,153,134
