"Month","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"January",8014,1466,2636,1054,1412,1467,1455,1346,8633,5315
"February",14717,1611,2702,2186,1746,4368,2058,2079,7762,10089
"March",28915,8872,12519,13277,12798,18329,1781,5520,11285,21280
"April",40925,34958,42118,44982,44699,48383,5823,19341,47835,57533
"May",34950,63598,61711,68898,58034,83011,20667,35117,82672,73143
"June",33005,27222,50270,47885,54687,59732,26864,32680,59657,56084
"July",24670,28174,42830,38894,39282,38098,24641,34223,55934,33210
"August",34033,49106,53271,45847,52014,49104,51139,31590,57700,41711
"September",25518,24045,23741,29008,36873,31235,9838,25934,41573,27449
"October",33810,36395,29908,42974,35290,34299,20398,49209,57372,47020
"November",12232,6630,8751,9430,15002,15975,9423,25979,24723,18327
"December",1240,2603,1693,1740,1670,2500,2064,8883,6229,3187
"Total",292029,284680,332150,346175,353507,386501,176151,271901,461375,393348
