lo,la,examin_dt,specs_kr_nm,bhgdm,vtdgr_cd
130.863703,37.497778,"2012-06-24",너도밤나무,21.7,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.3,AL
130.863703,37.497778,"2012-06-24",너도밤나무,3.3,AL
130.863703,37.497778,"2012-06-24",너도밤나무,8.2,AL
130.863703,37.497778,"2012-06-24",너도밤나무,82.0,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.2,AS
130.863703,37.497778,"2012-06-24",섬벚나무,23.1,AS
130.863703,37.497778,"2012-06-24",섬벚나무,25.7,AL
130.863703,37.497778,"2012-06-24",마가목,24.0,AL
130.863703,37.497778,"2012-06-24",마가목,14.2,AL
130.863703,37.497778,"2012-06-24",고로쇠나무,22.2,AS
130.863703,37.497778,"2012-06-24",고로쇠나무,41.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,34.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,6.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,4.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,11.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,11.0,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.8,AS
130.863703,37.497778,"2012-06-24",너도밤나무,27.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,33.4,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.9,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.2,AS
130.863703,37.497778,"2012-06-24",난티나무,18.2,AF
130.863703,37.497778,"2012-06-24",고로쇠나무,21.8,DB
130.863703,37.497778,"2012-06-24",너도밤나무,5.2,AL
130.863703,37.497778,"2012-06-24",너도밤나무,4.0,AL
130.863703,37.497778,"2012-06-24",너도밤나무,7.9,AS
130.863703,37.497778,"2012-06-24",너도밤나무,16.4,AS
130.863703,37.497778,"2012-06-24",너도밤나무,6.7,AL
130.863703,37.497778,"2012-06-24",너도밤나무,5.1,AS
130.863703,37.497778,"2012-06-24",너도밤나무,33.7,AS
130.863703,37.497778,"2012-06-24",너도밤나무,29.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,5.0,AL
130.863703,37.497778,"2012-06-24",너도밤나무,6.4,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.8,AS
130.863703,37.497778,"2012-06-24",너도밤나무,6.0,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.5,AS
130.863703,37.497778,"2012-06-24",두메오리나무,15.5,AL
130.863703,37.497778,"2012-06-24",너도밤나무,6.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.8,AS
130.863703,37.497778,"2012-06-24",두메오리나무,18.8,AL
130.863703,37.497778,"2012-06-24",쪽동백나무,13.6,AL
130.863703,37.497778,"2012-06-24",너도밤나무,24.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,6.9,AS
130.863703,37.497778,"2012-06-24",너도밤나무,31.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,27.9,AS
130.863703,37.497778,"2012-06-24",너도밤나무,7.3,AB
130.863703,37.497778,"2012-06-24",너도밤나무,5.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,29.0,AS
130.863703,37.497778,"2012-06-24",너도밤나무,4.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,26.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,11.3,AL
130.863703,37.497778,"2012-06-24",너도밤나무,24.1,AS
130.863703,37.497778,"2012-06-24",너도밤나무,16.6,AL
130.863703,37.497778,"2012-06-24",너도밤나무,28.6,AS
130.863703,37.497778,"2012-06-24",너도밤나무,4.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,4.3,AL
130.863703,37.497778,"2012-06-24",너도밤나무,4.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,3.4,AS
130.863703,37.497778,"2012-06-24",두메오리나무,20.1,AL
130.863703,37.497778,"2012-06-24",너도밤나무,13.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,20.1,AL
130.863703,37.497778,"2012-06-24",너도밤나무,4.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,4.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,15.8,AS
130.863703,37.497778,"2012-06-24",너도밤나무,18.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,17.7,AS
130.863703,37.497778,"2012-06-24",너도밤나무,22.2,AS
130.863703,37.497778,"2012-06-24",너도밤나무,13.3,AS
130.863703,37.497778,"2012-06-24",너도밤나무,5.5,AB
130.863703,37.497778,"2012-06-24",너도밤나무,6.6,AS
130.863703,37.497778,"2012-06-24",섬단풍나무,3.2,AL
130.863703,37.497778,"2012-06-24",너도밤나무,28.6,AS
130.863703,37.497778,"2012-06-24",너도밤나무,6.6,AB
130.863703,37.497778,"2012-06-24",너도밤나무,7.5,AS
130.863703,37.497778,"2012-06-24",너도밤나무,19.6,AS
130.863703,37.497778,"2012-06-24",마가목,18.7,AS
130.863703,37.497778,"2012-06-24",마가목,4.4,AS
